,log2FoldChange,pvalue,padj
Dapma7bEVm000104,-0.014666903,0.928831919,0.998544574
Dapma7bEVm000105,0.219186275,0.298672422,0.997835001
Dapma7bEVm000106,-0.447267219,0.641094376,0.997835001
Dapma7bEVm000107,-0.307089989,0.091406504,0.876418925
Dapma7bEVm000108,-0.166989856,0.129051702,0.933200618
Dapma7bEVm000109,-0.247328698,0.156238887,0.951748095
Dapma7bEVm000110,-0.125897731,0.644886714,0.997835001
Dapma7bEVm000111,0.123738186,0.575124423,0.997835001
Dapma7bEVm000112,-0.598153811,0.714139118,0.998544574
Dapma7bEVm000113,-1.291269686,0.11703123,0.921816387
Dapma7bEVm000114,0.090884903,0.927834396,0.998544574
Dapma7bEVm000115,-0.14800406,0.29945225,0.997835001
Dapma7bEVm000116,-0.166732177,0.472873917,0.997835001
Dapma7bEVm000117,-0.00298074,0.986466788,0.999369764
Dapma7bEVm000118,-0.193554667,0.152029501,0.945673822
Dapma7bEVm000119,0.038514173,0.864585497,0.998544574
Dapma7bEVm000120,-0.370656318,0.080362022,0.860076864
Dapma7bEVm000121,0.068301868,0.771892178,0.998544574
Dapma7bEVm000122,-0.129029935,0.709986528,0.998544574
Dapma7bEVm000123,-0.280303216,0.186206728,0.974249988
Dapma7bEVm000124,-0.661395772,0.018133562,0.551283734
Dapma7bEVm000125,-0.219389578,0.389699204,0.997835001
Dapma7bEVm000126,-0.109995134,0.629185044,0.997835001
Dapma7bEVm000127,-0.084992715,0.533283905,0.997835001
Dapma7bEVm000128,-0.01689727,0.91674831,0.998544574
Dapma7bEVm000129,-0.07092822,0.672547593,0.998544574
Dapma7bEVm000130,0.02262233,0.969224388,0.998544574
Dapma7bEVm000131,-0.288082381,0.191818505,0.979170332
Dapma7bEVm000132,0.007086553,0.982010301,0.999239775
Dapma7bEVm000133,-0.337586307,0.111365625,0.914141657
Dapma7bEVm000134,0.167236891,0.224941765,0.997835001
Dapma7bEVm000135,0.360906811,0.114458038,0.920852017
Dapma7bEVm000136,-0.09442233,0.534580894,0.997835001
Dapma7bEVm000137,-0.302606089,0.223876352,0.997835001
Dapma7bEVm000138,-0.174930885,0.587699576,0.997835001
Dapma7bEVm000139,0.02492015,0.895713989,0.998544574
Dapma7bEVm000140,-0.379746992,0.761195179,0.998544574
Dapma7bEVm000141,-0.315481903,0.173560239,0.965728374
Dapma7bEVm000142,-0.128013536,0.555760731,0.997835001
Dapma7bEVm000144,0.861732909,0.201005669,0.986281518
Dapma7bEVm000145,-0.526157924,0.814325602,0.998544574
Dapma7bEVm000146,-0.093094548,0.703206586,0.998544574
Dapma7bEVm000147,-0.115317133,0.925236213,0.998544574
Dapma7bEVm000148,0.100109089,0.673110022,0.998544574
Dapma7bEVm000149,7.116198408,9.37E-09,6.71E-06
Dapma7bEVm000150,-0.267775733,0.230142708,0.997835001
Dapma7bEVm000151,0.047489392,0.872874571,0.998544574
Dapma7bEVm000152,-0.329641818,0.468552526,0.997835001
Dapma7bEVm000153,-0.32019275,0.057968631,0.805244561
Dapma7bEVm000154,-0.253600031,0.221923951,0.997523139
Dapma7bEVm000155,-0.241255796,0.824107071,0.998544574
Dapma7bEVm000156,-0.066334033,0.826773616,0.998544574
Dapma7bEVm000157,-0.332174145,0.144762441,0.943201822
Dapma7bEVm000158,0.29407694,0.235649649,0.997835001
Dapma7bEVm000159,-0.137306673,0.770897775,0.998544574
Dapma7bEVm000160,-0.314959983,0.019901312,0.560321933
Dapma7bEVm000161,-0.48554035,0.100436577,0.896682166
Dapma7bEVm000162,-0.070431274,0.516827734,0.997835001
Dapma7bEVm000163,-0.037998591,0.892247055,0.998544574
Dapma7bEVm000164,0.045962924,0.800312426,0.998544574
Dapma7bEVm000165,-0.164865872,0.306197328,0.997835001
Dapma7bEVm000166,-0.106720165,0.541749386,0.997835001
Dapma7bEVm000167,0.084418342,0.686393616,0.998544574
Dapma7bEVm000168,0.410721858,0.426389871,0.997835001
Dapma7bEVm000169,-0.426114737,0.130380695,0.933200618
Dapma7bEVm000170,-0.171888576,0.658818634,0.998307779
Dapma7bEVm000171,-0.297475902,0.044632033,0.742147125
Dapma7bEVm000172,-0.343668502,0.21363145,0.991607831
Dapma7bEVm000173,0.202553687,0.360627522,0.997835001
Dapma7bEVm000174,0.008986795,0.960145801,0.998544574
Dapma7bEVm000175,0.153031184,0.506326523,0.997835001
Dapma7bEVm000176,-0.33277455,0.211400439,0.99129443
Dapma7bEVm000177,-0.15915489,0.423876502,0.997835001
Dapma7bEVm000178,-0.350002099,0.185503196,0.974249988
Dapma7bEVm000179,-0.145492054,0.525121246,0.997835001
Dapma7bEVm000180,0.040546811,0.802325397,0.998544574
Dapma7bEVm000181,-0.039220927,0.84833154,0.998544574
Dapma7bEVm000182,-0.320804039,0.20476657,0.987969387
Dapma7bEVm000183,0.234825606,0.131178417,0.933200618
Dapma7bEVm000184,-0.175496801,0.183362961,0.970982937
Dapma7bEVm000185,-0.40977366,0.20202111,0.986281518
Dapma7bEVm000186,-0.19927016,0.512012964,0.997835001
Dapma7bEVm000187,-0.250766055,0.336295817,0.997835001
Dapma7bEVm000188,-0.906741543,0.41336822,0.997835001
Dapma7bEVm000189,0.01915794,0.887811876,0.998544574
Dapma7bEVm000190,0.352796602,0.196527971,0.983915021
Dapma7bEVm000191,-0.160392927,0.687899117,0.998544574
Dapma7bEVm000192,-0.082055578,0.852116905,0.998544574
Dapma7bEVm000193,0.090512509,0.849837814,0.998544574
Dapma7bEVm000194,0.008917742,0.97847175,0.998544574
Dapma7bEVm000195,-0.981424832,0.277540188,0.997835001
Dapma7bEVm000196,-0.105241356,0.719203827,0.998544574
Dapma7bEVm000197,-0.149169958,0.606447239,0.997835001
Dapma7bEVm000198,1.020815898,0.051640875,0.770578688
Dapma7bEVm000199,0.002925108,0.984887666,0.999369764
Dapma7bEVm000200,-0.189315925,0.769891576,0.998544574
Dapma7bEVm000201,2.681183586,0.086504435,0.873293134
Dapma7bEVm000202,-0.103186871,0.633130511,0.997835001
Dapma7bEVm000203,-0.372740722,0.508211885,0.997835001
Dapma7bEVm000204,-0.154226415,0.8019766,0.998544574
Dapma7bEVm000205,-0.437077598,0.125999733,0.932704674
Dapma7bEVm000206,0.029772172,0.883852274,0.998544574
Dapma7bEVm000207,-0.218875606,0.473730997,0.997835001
Dapma7bEVm000208,0.12941774,0.637034693,0.997835001
Dapma7bEVm000209,0.381907109,0.405771647,0.997835001
Dapma7bEVm000210,-0.594920602,0.003618941,0.279285663
