,log2FoldChange,pvalue,padj
Dapma7bEVm000106,0.069884935,0.941247781,NA
Dapma7bEVm000107,0.170830605,0.344583764,0.784275964
Dapma7bEVm000108,-0.202234187,0.065399519,0.408916238
Dapma7bEVm000109,-0.198336683,0.254514737,0.710709355
Dapma7bEVm000110,0.305497843,0.261730966,0.718963014
Dapma7bEVm000111,0.513706232,0.018896028,0.202872503
Dapma7bEVm000112,-0.819370553,0.615830361,0.914769833
Dapma7bEVm000113,-1.217601599,0.134571731,NA
Dapma7bEVm000114,-0.102735703,0.918452275,0.985820597
Dapma7bEVm000115,0.030930243,0.828141163,0.966015412
Dapma7bEVm000116,0.43433357,0.060663108,0.391757084
Dapma7bEVm000117,0.314209709,0.073212528,0.435066146
Dapma7bEVm000118,-0.176404995,0.18946751,0.643146593
Dapma7bEVm000119,0.319133158,0.156649152,0.600858596
Dapma7bEVm000120,-0.091371347,0.665485599,0.930209681
Dapma7bEVm000121,-0.11681602,0.619971046,0.915434051
Dapma7bEVm000122,-0.203475705,0.556928355,0.8962249
Dapma7bEVm000123,-0.076332071,0.717410266,0.944285484
Dapma7bEVm000124,-0.16459365,0.554486182,0.8962249
Dapma7bEVm000125,0.075749552,0.76591195,0.955425197
Dapma7bEVm000126,0.648205619,0.004318779,0.077701508
Dapma7bEVm000127,-0.026122038,0.847665965,0.972106564
Dapma7bEVm000128,-0.137768928,0.393401164,0.817959974
Dapma7bEVm000129,0.19688036,0.237857949,0.697268737
Dapma7bEVm000130,0.08636418,0.882610066,NA
Dapma7bEVm000131,-0.377693519,0.086523792,0.47199838
Dapma7bEVm000132,-0.489012159,0.121273479,0.547790504
Dapma7bEVm000133,0.05594125,0.791493238,0.958268461
Dapma7bEVm000134,0.06915744,0.615391265,0.914705155
Dapma7bEVm000135,0.099674851,0.662965375,0.930033312
Dapma7bEVm000136,0.162695995,0.283634867,0.737696926
Dapma7bEVm000137,-0.016218142,0.947563763,0.991560848
Dapma7bEVm000138,-0.194400127,0.546173553,0.893667133
Dapma7bEVm000139,0.0260475,0.890632076,0.97902678
Dapma7bEVm000140,-1.198976158,0.34228458,NA
Dapma7bEVm000141,-0.087859015,0.703498007,0.940978754
Dapma7bEVm000142,0.089083273,0.679859391,0.93529632
Dapma7bEVm000144,0.31956908,0.637794196,NA
Dapma7bEVm000145,0.758540181,0.733484953,NA
Dapma7bEVm000146,-0.447425387,0.067806149,0.415129735
Dapma7bEVm000147,0.048936894,0.96817148,NA
Dapma7bEVm000148,-0.234825921,0.32284384,0.768718825
Dapma7bEVm000149,6.687697149,6.92E-08,NA
