,C1,C2,C3,C4,IN2,IN3,IN4,IN5,AL2,AL3,AL4,AL5,ALIN2,ALIN3,ALIN4,ALIN5
Dapma7bEVm000024,7.508081183,7.83096151,7.961299422,7.885227382,7.77320225,7.96947562,7.699790241,7.453660663,7.619615655,7.325358373,7.353631874,7.533326861,7.381743022,7.565047986,7.867828661,7.441085103
Dapma7bEVm000025,9.46310945,9.39557901,8.693679161,9.27239272,9.299185056,9.298036039,9.197638745,9.345594059,9.262878461,9.63528881,9.214696657,9.063737032,9.285679182,9.35476088,9.146188804,9.038430818
Dapma7bEVm000026,8.439402132,8.322065856,7.857565244,8.187660582,8.315105835,8.000204765,8.122331199,8.602849429,8.709759588,8.186670992,8.489803618,8.451915461,8.239823104,8.464827018,8.057925075,8.484584478
Dapma7bEVm000027,8.13263519,8.327471855,8.657168389,8.192435729,8.406754752,8.125544377,8.157478123,8.610200282,8.008835721,8.898190914,8.331970446,8.379926598,8.212505561,8.263805028,8.132330046,8.750063499
Dapma7bEVm000028,9.15989556,9.097074066,8.619565624,8.543063744,8.60262334,8.429652208,8.681802914,8.867935157,9.100967683,8.873587278,9.168709646,8.901318012,9.273816028,9.19191041,8.660968098,9.541409689
Dapma7bEVm000029,10.39869979,10.51053725,11.00679414,10.58841467,10.5092713,10.66071995,10.53008729,10.40996606,10.58608449,10.40067401,10.61313063,10.7107837,10.71434475,10.67469657,10.63198201,10.56568963
Dapma7bEVm000030,8.497880472,8.530199505,8.391867229,8.510852123,8.263488214,8.203316571,7.982504376,8.204644442,8.58113614,8.370668917,8.657390869,8.403544606,8.324321723,8.207561656,8.272760958,8.381572926
Dapma7bEVm000031,9.871033433,9.939231118,9.325083227,9.537649529,9.455991956,9.74008116,9.636496683,9.881011084,10.18146558,10.09928772,9.857802823,9.717933542,9.941109377,10.09024652,9.505593244,10.10819772
Dapma7bEVm000032,9.979053761,9.942411464,10.01130374,9.856086932,10.08751144,10.13193998,9.973804084,10.22582834,10.07477422,9.993694685,10.1244298,10.0887576,10.44047781,10.30195963,10.2369918,10.37867087
Dapma7bEVm000033,8.478700619,8.874281462,8.307040116,8.466533544,8.099466546,8.437855237,8.292993502,8.742265791,8.714740609,8.804359712,8.53642856,8.617307186,8.693564818,8.742919814,8.359194834,8.52617226
Dapma7bEVm000034,9.858503143,9.91028033,9.606706476,9.552545757,9.360108477,9.412871046,9.412251493,9.473542285,9.77488933,10.0123657,9.477117565,9.240019104,9.700587364,9.674200798,9.369362416,9.800015512
Dapma7bEVm000035,10.52285279,10.69877839,10.38017046,10.01855589,10.09925995,9.755265489,9.832735119,10.40209308,10.51127214,10.1065369,10.3647038,10.13224838,10.45850278,10.37140243,9.850315189,10.42215051
Dapma7bEVm000036,8.74697145,8.719750783,9.001626382,8.364497183,8.215553153,8.45812048,8.395598542,8.988005427,8.343743104,8.321829373,8.526220249,8.361224288,9.026039048,8.321752045,8.484613775,8.19878935
Dapma7bEVm000037,9.404121057,9.287992614,8.027266385,8.270642677,8.385824576,8.446002443,8.256663232,9.659087144,9.185217732,9.346286315,8.963531416,8.873078707,9.206650044,9.387401285,8.397753968,9.415889163
Dapma7bEVm000038,8.674828884,8.76582896,9.325083227,9.193438331,9.681952556,9.291716437,9.661695695,8.82532816,9.108347168,8.96934574,9.130756682,9.341774619,9.656155404,9.343052521,9.93628521,9.095090054
Dapma7bEVm000039,10.39557063,10.80660003,10.18373644,10.31660106,10.04104184,10.39404799,9.860865651,11.09412097,11.01964175,10.83176563,10.65909961,10.35325279,10.92116127,10.72480832,9.687682797,10.98037501
Dapma7bEVm000040,9.376889407,9.660136364,9.186834069,9.316091099,8.981684144,9.211259881,9.038619898,8.926482708,9.362521165,9.461003915,8.926649466,9.014988461,9.803826482,8.983858411,9.004456623,9.295481688
Dapma7bEVm000041,10.01227142,9.777447641,9.540437559,9.56565382,9.481229836,9.44910901,9.44808826,9.324478538,9.950405901,9.675154951,9.87847948,9.871137651,9.7709454,9.638267439,9.437033253,9.751983995
Dapma7bEVm000042,7.789658856,7.649348643,7.63945629,7.601650044,7.480879978,7.696988437,7.859507017,7.453660663,7.742846453,8.088751966,7.691154543,7.611747029,7.89262616,7.91040084,7.678733574,7.802045534
Dapma7bEVm000043,10.93077697,11.22221998,10.93805416,10.9687771,11.2335825,11.12356312,10.97528975,11.2120668,11.35026337,10.98502818,11.29288558,11.26519887,11.48636117,11.51716344,11.26505158,11.48470228
Dapma7bEVm000044,9.555671512,9.423512231,8.549777588,9.377256404,9.079877824,8.979560424,8.825266819,9.370510018,9.351801865,9.28250311,9.589379573,9.406831877,9.640263633,9.534805575,9.089636578,8.900493286
Dapma7bEVm000045,11.48806952,11.60801745,11.11218091,10.98565383,11.11795036,11.17127383,11.02601934,11.56341771,11.68432615,11.55120605,11.64815728,11.33736995,11.73162447,11.72381398,11.17042153,11.68680367
Dapma7bEVm000046,7.434815778,7.605586491,7.301805072,7.507376441,8.029114909,7.93777868,7.735876872,8.000822744,7.464935441,8.477342324,7.527928049,7.724095141,7.739945467,8.35179068,7.942514703,7.802045534
Dapma7bEVm000047,8.060611826,8.12101275,7.721633926,7.872327173,8.539213498,8.087253332,8.10432011,7.895564023,8.486333597,8.046936547,7.875178345,7.949236725,8.22624741,8.263805028,8.064328392,8.329181969
Dapma7bEVm000048,13.27210193,13.3451759,12.77347938,12.79575807,12.63186238,13.01670383,12.84479148,13.35136799,13.3284541,13.54107866,13.06961464,12.97422191,13.36323431,13.55830835,12.76013308,13.39153902
Dapma7bEVm000049,8.677575362,8.810307999,8.632225743,8.664118993,8.496651352,8.609124613,8.613303844,7.852977473,8.59761532,8.695031706,8.684759274,8.778735495,8.978649203,8.730541727,8.416571971,8.512466823
