,C1,C2,C3,C4,IN2,IN3,IN4,IN5,AL2,AL3,AL4,AL5,ALIN2,ALIN3,ALIN4,ALIN5
Dapma7bEVm018553,194.0329225,160.6164875,45.05670788,116.7474698,139.9095151,87.33140433,142.7325595,147.1892251,122.0432577,216.7984152,185.1177919,188.7795825,76.92825264,206.9743474,134.9459173,225.8651186
Dapma7bEVm018554,723.0814904,627.475078,1996.44127,2164.447695,759.0366607,1680.683965,134.8576597,737.785991,90.17640705,476.2995485,603.4359189,493.6888791,291.5828931,527.3122377,634.7456112,238.6499366
Dapma7bEVm018555,4616.820812,4890.236657,4256.786116,4095.40045,4899.036328,4589.354411,4553.66083,4973.155945,5131.918985,5891.880162,5561.948201,5090.444194,6674.146306,6312.288188,5119.948064,6794.065384
Dapma7bEVm018556,53.77691486,54.60960576,19.31001766,56.27396024,42.96433928,87.33140433,38.3901367,9.199326571,82.71820797,67.88637243,15.62682659,33.02266749,38.46412632,59.25821564,59.97596326,57.53168115
Dapma7bEVm018557,0.726715066,7.495436085,127.6606723,54.59414054,149.8243626,248.6271613,55.12429885,9.199326571,14.91639816,769.743868,27.64746242,41.82871216,150.1341705,251.6327128,34.98597857,286.5930043
Dapma7bEVm018558,122.088131,110.2899881,148.0434687,130.1860274,156.434261,149.7109789,110.2485977,126.9507067,127.4674024,120.443564,94.9630231,77.05289082,162.5419532,119.375246,136.9451161,118.2595668
Dapma7bEVm018559,18.16787664,6.424659501,21.45557518,34.43630403,70.50558242,32.97206082,6.890537356,20.23851846,33.22288681,8.759531926,0,0,14.88933922,32.63495934,16.99318959,51.13927214
Dapma7bEVm018560,5065.930723,5333.538163,7689.678144,5808.816553,6636.337945,6061.51237,7097.253476,5607.909478,4935.293736,4780.514549,5277.059132,5381.594046,5167.841488,4911.56138,7892.836765,4632.365734
Dapma7bEVm018561,22.52816704,41.76028676,54.71171671,93.22999384,37.45609066,65.94412164,38.3901367,16.55878783,32.54486871,55.84201603,27.64746242,24.76700062,60.79813515,50.67006845,76.96915285,33.02744659
Dapma7bEVm018562,133.7155721,359.7809321,18.2372389,12.59864782,788.7812033,12.4759149,637.8668866,459.9663286,144.4178549,407.3182346,0,212.4458276,88.09525705,132.2574668,725.7091554,0
Dapma7bEVm018564,35.60903822,29.98174434,27.89224773,21.83765621,71.60723214,19.60500914,13.78107471,125.1108414,60.34361073,62.41166497,0,4.953400124,24.81556537,57.5405862,15.9935902,70.31649919
Dapma7bEVm018565,108.2805448,56.75115893,161.9895926,86.510715,109.0633228,86.44026755,129.9358473,95.67299634,84.07424416,49.27236709,80.53826009,67.69646836,39.70490459,67.84636284,121.9511253,43.68146162
Dapma7bEVm018566,11.62744105,25.698638,18.2372389,20.15783651,42.96433928,16.04046202,15.74979967,18.39865314,18.30648865,0,28.849526,23.11586725,26.05634364,12.02340607,22.99078592,31.96204508
Dapma7bEVm018567,21.07473691,8.566212668,13.94612387,9.239008398,0,7.129094231,1.968724959,0,0,0,0,5.503777916,16.13011749,10.30577663,6.997195713,35.15824959
Dapma7bEVm018568,25.4350273,154.191828,4.291115036,0.839909854,391.0856525,16.04046202,290.3869314,147.1892251,70.5138822,88.69026075,0,57.78966812,0,42.94073597,247.9006481,45.81226462
Dapma7bEVm018570,159.8773145,35.33562726,67.58506181,833.1905756,123.3847692,359.1281219,106.3111478,196.8655886,18.98450675,60.22178199,61.30524276,734.203974,32.26023498,129.6810226,66.97315897,21.30803006
Dapma7bEVm018571,129.3552817,189.5274553,133.0245661,131.0259373,95.8435261,91.78708822,99.42061042,101.1925923,130.1794748,114.9688565,159.8744566,124.3853809,122.8370486,139.9867993,103.9583363,99.08233976
Dapma7bEVm018572,619.161236,806.2947674,473.0954327,613.1341937,470.4044327,512.4036479,456.7441904,603.4758231,775.6527042,735.8006818,534.9182947,515.7039907,766.8009699,571.9706031,437.8245318,735.127037
Dapma7bEVm018573,481.8120886,566.4408127,327.1975215,386.358533,385.5774038,381.4065414,509.8997643,618.1947456,440.0337457,431.4069474,390.6706646,442.5037444,357.3441413,448.3012835,402.8385532,428.2914041
Dapma7bEVm018574,422.9481682,436.8768461,465.5859814,383.8388035,367.9510082,356.4547116,409.4947914,557.4791902,496.9872659,414.982825,616.6586183,565.7883697,509.9598683,551.3590499,431.8269355,579.5784175
Dapma7bEVm018575,75.57836683,95.29911593,86.89507948,112.5479205,123.3847692,167.5337144,131.9045722,156.3885517,173.5726331,191.6147609,165.8847745,99.61838028,112.9108224,112.5047282,85.96554734,100.1477413
Dapma7bEVm018576,329.2019248,268.7649225,378.6909019,312.4464658,502.3522747,397.4470034,440.9943908,305.4176422,365.4517549,330.6723302,435.1470172,382.5125652,300.2683409,355.5492938,385.8453636,277.0043907
Dapma7bEVm018577,440.3893298,322.3037516,259.6124597,304.8872771,380.0691552,326.1560611,314.9959934,292.538585,345.1112119,456.5906017,329.3654219,304.9092965,426.8277243,469.7716515,323.8702016,449.5994342
Dapma7bEVm018578,309.580618,210.942987,205.9735217,275.4904322,217.0249959,220.1107844,277.5902192,241.0223562,273.9193116,260.5960748,294.505578,345.6372531,353.6218065,329.7848523,233.9062567,275.9389892
Dapma7bEVm018579,18.89459171,7.495436085,11.80056635,15.95828723,3.304949176,7.129094231,9.843624794,0,5.424144785,32.84824472,6.010317917,10.45717804,18.61167403,4.294073597,14.99399081,15.98102254
Dapma7bEVm018580,28.34188756,26.76941459,20.38279642,27.71702519,2.203299451,26.73410337,22.64033703,16.55878783,37.96901349,24.0887128,40.87016184,46.23173449,22.33400883,24.90562686,15.9935902,17.04642405
Dapma7bEVm018581,18.89459171,5.353882918,19.31001766,31.91657447,8.813197802,15.14932524,0.984362479,25.7581144,18.30648865,0,7.212381501,30.27077854,13.64856095,10.30577663,14.99399081,0
Dapma7bEVm018582,28.34188756,21.41553167,91.18619451,20.15783651,55.08248626,32.08092404,32.48396182,0,21.69657914,18.61400534,14.424763,13.209067,7.44466961,30.9173299,26.98918347,15.98102254
Dapma7bEVm018583,8.720580788,13.92009559,9.655008831,18.4780168,25.33794368,10.69364135,39.37449918,23.91824909,6.780180981,88.69026075,7.212381501,6.604533499,33.50101325,39.50547709,16.99318959,10.65401503
Dapma7bEVm018584,191.8527773,283.7557946,267.121911,162.1026019,253.3794368,320.8092404,336.651968,358.7737363,230.5261534,522.2870911,213.9673179,238.3135838,295.3052279,272.2442661,208.916272,461.3188507
Dapma7bEVm018586,10.90072599,7.495436085,7.509451313,9.239008398,14.32144643,19.60500914,11.81234975,9.199326571,16.27243435,12.0443564,22.83920809,27.51888958,11.16700442,3.435258878,10.99559326,18.11182555
Dapma7bEVm018587,524.6882774,238.7831781,187.7362828,212.4971932,277.6157308,301.2042313,280.5433066,298.0581809,394.6065331,491.6287294,450.7738438,396.2720099,480.1811899,439.7131363,328.8681985,314.2934433
Dapma7bEVm018588,1235.415612,1362.027814,1437.523537,1154.87605,1292.235128,1480.17819,1357.435859,1074.481344,946.5132649,1334.733677,1063.826271,1195.420563,1482.730031,1290.798523,1429.427124,1372.237136
Dapma7bEVm018589,858.9772077,799.8701079,750.9451313,577.01807,458.2862857,600.626189,556.1648009,908.8934653,690.2224239,905.5166129,1025.360237,780.4357085,763.078635,875.9910138,556.7768589,1018.523837
Dapma7bEVm018590,106.1003996,140.2717324,111.5689909,78.11161646,42.96433928,107.8275502,53.15557389,134.3101679,89.49838895,98.54473417,128.6208034,119.9823586,198.5245229,181.2099058,94.96194183,164.0718314
Dapma7bEVm018591,60.31735045,38.54795701,98.69564582,57.1138701,117.8765206,50.7947964,40.35886166,77.2743432,73.22595459,52.55719156,57.69905201,70.44835732,76.92825264,32.63495934,45.98157183,28.76584058
Dapma7bEVm018592,297.2264619,305.1713263,243.5207783,194.8590862,204.9068489,226.3487418,294.3243813,616.3548803,351.2133748,315.3431493,239.2106531,239.9647171,266.7673277,265.3737483,257.896642,324.9474584
Dapma7bEVm018593,350.2766617,361.9224852,142.6795749,359.4814177,240.1596401,313.6801462,277.5902192,136.1500333,289.5137279,362.4256334,307.7282774,297.2040075,233.2663145,248.1974539,167.9326971,318.5550493
Dapma7bEVm018594,99.559964,91.0160096,156.6256988,115.0676501,168.552408,145.255295,117.139135,119.5912454,104.4147871,136.8676863,174.2992196,155.2065372,117.8739355,114.2223577,155.9375045,102.2785443
Dapma7bEVm018596,54.50362993,129.5639666,105.1323184,99.94927267,147.6210632,73.07321587,160.4510841,287.018989,131.535511,165.3361651,304.1220866,241.6158505,236.9886493,144.2808729,161.9351008,233.3229291
Dapma7bEVm018597,31.24874782,37.47718042,32.18336277,23.51747592,58.38743544,43.66570216,46.26503653,82.79393914,10.17027147,54.74707454,56.49698842,58.34004591,13.64856095,6.870517755,38.98437612,25.56963607
Dapma7bEVm018598,15.98773145,10.70776584,47.20226539,29.3968449,3.304949176,4.455683894,13.78107471,0,3.39009049,18.61400534,6.010317917,27.51888958,35.98256978,6.011703036,25.98958408,35.15824959
Dapma7bEVm018599,592.9994936,575.0070254,413.0198222,581.2176192,508.9621731,382.2976781,488.2437898,754.3447789,553.262768,493.8186123,311.3344681,508.5490794,487.6258595,419.9603978,424.8297397,560.4011905
Dapma7bEVm018600,560.2973157,467.929367,408.7287072,525.7835688,566.2479588,423.28997,383.901367,345.8946791,463.086361,396.3688197,568.576075,428.7442996,481.4219681,450.018913,410.8353483,393.1331545
Dapma7bEVm018601,1696.879678,720.6326407,1575.911997,1041.488219,1077.413431,2191.305339,1594.667217,2987.94127,1987.271046,1780.374864,1959.363641,2002.274406,1130.349002,1863.627941,2027.187558,1909.199493
Dapma7bEVm018603,14.53430131,26.76941459,12.87334511,31.07666461,11.01649725,22.27841947,21.65597455,33.11757566,25.08666963,12.0443564,0,0,83.13214398,32.63495934,64.9739602,0
Dapma7bEVm018604,5.08700546,10.70776584,0,4.199549272,14.32144643,3.564547116,22.64033703,20.23851846,11.52630767,14.23423938,0,15.41057816,0,0,3.998397551,0
Dapma7bEVm018605,808.8338681,1003.317659,908.6436088,818.912108,872.5065824,685.284183,688.0693731,1188.552993,918.7145229,907.7064959,896.7394333,889.4105112,854.8962269,712.8162171,667.7323909,833.1439752
Dapma7bEVm018606,101.0133941,76.02513743,141.6067962,111.7080106,131.0963173,159.5134834,80.71772331,97.51286166,103.0587509,87.59531926,129.822867,84.20780211,189.8390751,103.0577663,115.953529,78.83971121
Dapma7bEVm018607,10216.88711,7541.479478,8452.423842,7051.883137,8788.961508,8063.005575,7285.26671,9653.773304,8071.805458,7253.987376,7854.283455,8061.933891,8222.637584,9149.812021,8681.520682,9659.995426
Dapma7bEVm018608,321.9347741,255.9156035,255.3213446,328.4047531,269.9041827,202.2880488,342.5581428,349.5744097,257.6468773,214.6085322,187.521919,196.4848716,215.8954187,267.0913777,282.8866267,210.9494976
Dapma7bEVm018609,19.62130677,12.849319,95.47730955,17.63810694,15.42309615,36.53660793,15.74979967,0,29.83279632,13.13929789,12.02063583,22.01511166,8.685447879,36.07021822,13.99439143,0
Dapma7bEVm018612,18.89459171,21.41553167,68.65784057,22.67756607,177.3656058,294.075137,109.2642352,27.59797971,50.17333926,694.1929052,0,2.201511166,131.5224964,279.9735985,68.97235775,249.3039517
Dapma7bEVm018613,67.58450111,74.95436085,9.655008831,13.43855767,35.25279121,44.55683894,24.60906198,5.519595943,103.736769,67.88637243,42.07222542,46.78211228,84.37292225,103.0577663,27.98878285,40.48525711
Dapma7bEVm018615,85.02566269,11.77854242,49.34782291,79.79143617,66.09898352,399.2292769,16.73416215,0,0,324.1026813,8.414445084,313.7153412,59.55735688,85.88147194,696.7207732,18.11182555
Dapma7bEVm018617,445.4763353,416.532091,285.3591499,388.0383527,278.7173805,354.672438,339.6050554,645.7927253,370.8758997,437.9765963,477.2192426,438.6510999,385.8820415,341.8082583,326.8689998,454.9264417
Dapma7bEVm018618,10.17401092,0,8.582230072,16.79819709,40.76103983,0,21.65597455,7.359461257,9.492253373,33.94318621,40.87016184,3.852644541,34.74179151,0,1.999198775,148.0908089
Dapma7bEVm018619,39.24261355,48.18494626,43.98392912,20.15783651,84.82702884,43.66570216,38.3901367,34.95744097,33.9009049,45.98754261,57.69905201,19.8136005,45.90879593,27.48207102,30.98758102,27.70043907
Dapma7bEVm018621,156.2437391,175.6073597,151.261805,141.1048555,213.7200467,130.9971065,163.4041716,53.35609411,93.56649754,58.03189901,204.3508092,187.1284491,134.004053,127.1045785,145.9415106,123.5865743
Dapma7bEVm018623,260.1639935,129.5639666,218.8468668,234.3348494,174.0606566,198.7235017,232.3095451,187.6662621,183.7429046,74.45602137,204.3508092,213.5465831,161.3011749,163.1747967,235.9054555,95.88613525
Dapma7bEVm018627,276.151725,350.1439428,266.0491322,275.4904322,321.6817198,330.611745,316.9647184,301.7379115,360.7056282,306.5836174,429.1366993,287.847585,286.61978,339.2318142,241.9030518,518.8505319
