,log2FoldChange,pvalue,padj
Dapma7bEVm000106,0.43447298,0.644671577,0.984108345
Dapma7bEVm000107,0.107000931,0.553342677,0.971159653
Dapma7bEVm000108,-0.008102684,0.940849808,0.997211633
Dapma7bEVm000109,-0.16013543,0.356607874,0.947009914
Dapma7bEVm000110,0.414029348,0.127726027,0.828614689
Dapma7bEVm000111,0.348475092,0.110922775,0.804784529
Dapma7bEVm000112,-0.080921396,0.960453208,0.998801612
Dapma7bEVm000113,-0.02012756,0.979398196,0.999279828
Dapma7bEVm000114,0.134008425,0.893646038,0.996018607
Dapma7bEVm000115,-0.000591689,0.996684892,0.999771496
Dapma7bEVm000116,0.31544593,0.172902901,0.86392059
Dapma7bEVm000117,0.235033449,0.180016272,0.870726969
Dapma7bEVm000118,-0.071613435,0.591593116,0.975885279
Dapma7bEVm000119,0.320438158,0.154585169,0.851279019
Dapma7bEVm000120,-0.018209753,0.931232578,0.997211633
Dapma7bEVm000121,0.245461869,0.295529487,0.933826739
Dapma7bEVm000122,0.061046429,0.859353733,0.996018607
Dapma7bEVm000123,-0.060460141,0.773751763,0.995280907
Dapma7bEVm000124,0.029831338,0.914506695,0.996018607
Dapma7bEVm000125,0.261907887,0.302547977,0.934655977
Dapma7bEVm000126,0.311973413,0.169672505,0.862787273
Dapma7bEVm000127,0.092782734,0.493447672,0.964158903
Dapma7bEVm000128,0.171975406,0.282733019,0.926961898
Dapma7bEVm000129,0.187325473,0.260247365,0.918809966
Dapma7bEVm000130,0.184986204,0.751153979,0.995280907
Dapma7bEVm000131,-0.116177634,0.595771735,0.977416671
Dapma7bEVm000132,-0.110504924,0.724111153,0.994207572
Dapma7bEVm000133,0.015637462,0.941058306,0.997211633
Dapma7bEVm000134,0.006622416,0.961559208,0.999006385
Dapma7bEVm000135,0.394010142,0.084225032,0.776295698
Dapma7bEVm000136,0.022290223,0.883172905,0.996018607
Dapma7bEVm000137,0.070849673,0.772845474,0.995280907
Dapma7bEVm000138,0.174466175,0.586513955,0.973717642
Dapma7bEVm000139,0.076219919,0.686037995,0.990313418
Dapma7bEVm000140,-0.064639026,0.958408053,0.998693083
Dapma7bEVm000141,-0.229108635,0.320541317,0.941696037
Dapma7bEVm000142,-0.248292791,0.250660336,0.908193465
Dapma7bEVm000144,1.164517997,0.080606661,0.765159542
Dapma7bEVm000145,-2.950647339,0.198817856,0.882036162
Dapma7bEVm000146,-0.10092106,0.677710919,0.987545798
Dapma7bEVm000147,0.197684236,0.871741588,0.996018607
Dapma7bEVm000148,-0.355839045,0.133736242,0.831909087
Dapma7bEVm000149,5.364566248,1.64E-05,0.006031831
Dapma7bEVm000150,0.029870429,0.893357645,0.996018607
Dapma7bEVm000151,0.010260614,0.972365851,0.999117826
Dapma7bEVm000152,0.117764128,0.79503189,0.995280907
Dapma7bEVm000153,0.136281623,0.416039123,0.952985701
Dapma7bEVm000154,0.114436762,0.579778232,0.972390868
Dapma7bEVm000155,-0.392833845,0.716906751,0.994207572
Dapma7bEVm000156,-0.227213647,0.452715955,0.95782018
Dapma7bEVm000157,-0.06768148,0.765240514,0.995280907
Dapma7bEVm000158,0.055439694,0.822718925,0.995280907
Dapma7bEVm000159,-0.140496023,0.765560592,0.995280907
Dapma7bEVm000160,-0.043990422,0.743723153,0.995280907
Dapma7bEVm000161,0.014503676,0.960678977,0.998963876
Dapma7bEVm000162,-0.028297141,0.793464022,0.995280907
Dapma7bEVm000163,0.019259024,0.944978979,0.997211633
Dapma7bEVm000164,0.30209608,0.095488331,0.793659898
Dapma7bEVm000165,-0.017430645,0.913418436,0.996018607
Dapma7bEVm000166,0.13139788,0.451270277,0.957609563
Dapma7bEVm000167,0.15585519,0.452852319,0.95782018
Dapma7bEVm000168,0.672575888,0.19152976,0.877495148
Dapma7bEVm000169,-0.146647576,0.599244277,0.978145926
Dapma7bEVm000170,0.208702531,0.590393953,0.975603595
Dapma7bEVm000171,-0.079520473,0.588501675,0.974486937
Dapma7bEVm000172,0.238484507,0.387294262,0.952985701
Dapma7bEVm000173,0.006997729,0.97473069,0.999117826
Dapma7bEVm000174,0.12249597,0.493560843,0.964158903
Dapma7bEVm000175,0.448482605,0.050849624,0.682056367
Dapma7bEVm000176,0.10267106,0.697689188,0.991796615
Dapma7bEVm000177,0.200821457,0.310589231,0.939154914
Dapma7bEVm000178,-0.186550626,0.476281686,0.959980398
Dapma7bEVm000179,-0.045916798,0.839767046,0.995987636
Dapma7bEVm000180,0.235334501,0.144245,0.841442447
Dapma7bEVm000181,0.100990799,0.621858778,0.980944104
Dapma7bEVm000182,-0.361904538,0.148318344,0.845416249
Dapma7bEVm000183,0.251326648,0.105320978,0.800388183
Dapma7bEVm000184,0.078788384,0.547925219,0.971159653
Dapma7bEVm000185,0.179747047,0.57403335,0.971464427
Dapma7bEVm000186,-0.22676392,0.452731997,0.95782018
Dapma7bEVm000187,0.005076872,0.984414287,0.999771496
Dapma7bEVm000188,0.911902366,0.402945372,0.952985701
Dapma7bEVm000189,0.217914321,0.108305178,0.803630103
Dapma7bEVm000190,0.057067707,0.834434044,0.995987636
Dapma7bEVm000191,-0.211375829,0.595264518,0.977374888
Dapma7bEVm000192,-0.864536105,0.050303897,0.679173729
Dapma7bEVm000193,0.188868182,0.691090199,0.990680186
Dapma7bEVm000194,-0.74487357,0.024795803,0.514037458
Dapma7bEVm000195,0.667640212,0.45753263,0.959205692
Dapma7bEVm000196,0.342436657,0.240874739,0.908193465
Dapma7bEVm000197,-0.241160857,0.404127861,0.952985701
Dapma7bEVm000198,0.470619014,0.369875238,0.947850483
Dapma7bEVm000199,0.015552202,0.919065739,0.996018607
Dapma7bEVm000200,-0.110493459,0.863890931,0.996018607
Dapma7bEVm000201,2.57629332,0.098537188,0.793921054
Dapma7bEVm000202,-0.180619571,0.402537482,0.952985701
Dapma7bEVm000203,0.447224745,0.422800304,0.952985701
Dapma7bEVm000204,0.005909524,0.992250386,0.999771496
Dapma7bEVm000205,0.025231812,0.929357377,0.997211633
Dapma7bEVm000206,0.402637101,0.047842029,0.666022417
Dapma7bEVm000207,0.013623743,0.964198251,0.999117826
Dapma7bEVm000208,0.10580448,0.699167409,0.992113972
Dapma7bEVm000209,-0.732356576,0.11474555,0.807890346
Dapma7bEVm000210,-0.39483162,0.051212953,0.684352194
Dapma7bEVm000211,-0.025987127,0.915640913,0.996018607
Dapma7bEVm000212,0.157860203,0.544939939,0.971159653
Dapma7bEVm000213,0.1119612,0.562615576,0.971159653
Dapma7bEVm000214,0.455586782,0.410454748,0.952985701
Dapma7bEVm000215,0.494130455,0.022894127,0.494908234
Dapma7bEVm000216,0.102469116,0.574636315,0.971707047
Dapma7bEVm000217,0.290581292,0.342277278,0.943571883
Dapma7bEVm000218,-0.141509693,0.78923896,0.995280907
Dapma7bEVm000219,0.094125036,0.492491031,0.964158903
Dapma7bEVm000220,-0.303991441,0.221480172,0.898431975
Dapma7bEVm000221,0.188054301,0.380704158,0.951834384
Dapma7bEVm000222,0.021253589,0.915965248,0.996018607
Dapma7bEVm000223,-0.055517225,0.881364034,0.996018607
Dapma7bEVm000224,0.266987788,0.439540069,0.954579575
Dapma7bEVm000225,-0.103398867,0.716742001,0.994207572
Dapma7bEVm000226,0.72603619,0.196193615,0.879981581
Dapma7bEVm000227,0.152176002,0.461162448,0.959980398
Dapma7bEVm000228,-0.338556146,0.655382611,0.984108345
Dapma7bEVm000229,0.240609014,0.400930646,0.952985701
Dapma7bEVm000230,0.519608563,0.233555918,0.906082066
Dapma7bEVm000231,0.296306885,0.280019117,0.926009441
Dapma7bEVm000232,0.262577044,0.271465837,0.921222436
Dapma7bEVm000233,0.508290655,0.028121914,0.547345672
Dapma7bEVm000234,-0.061994351,0.641035858,0.984108345
Dapma7bEVm000235,-0.211564422,0.148971595,0.846477171
Dapma7bEVm000236,-0.440424898,0.432649116,0.953450428
Dapma7bEVm000237,-0.068631328,0.751044411,0.995280907
Dapma7bEVm000238,0.778230635,0.539112105,0.971159653
Dapma7bEVm000239,-0.070864011,0.716948841,0.994207572
Dapma7bEVm000240,-0.0432621,0.817095618,0.995280907
Dapma7bEVm000241,0.017422935,0.934483673,0.997211633
Dapma7bEVm000242,-1.170292788,0.007568306,0.298298469
Dapma7bEVm000243,-0.577485833,0.684298932,0.990313418
Dapma7bEVm000244,-0.103523787,0.535435196,0.969672464
Dapma7bEVm000245,-0.093121621,0.495889604,0.964158903
Dapma7bEVm000246,0.436447229,0.762709298,0.995280907
Dapma7bEVm000247,-0.002316337,0.997396758,0.999771496
Dapma7bEVm000248,-0.197889686,0.657831155,0.984108345
Dapma7bEVm000249,0.776242452,0.200667075,0.882036162
Dapma7bEVm000250,-0.175439934,0.864091566,0.996018607
Dapma7bEVm000251,-0.801872473,0.327016445,0.941696037
Dapma7bEVm000253,1.408777662,0.204774991,0.884141008
Dapma7bEVm000254,-2.190074462,0.394604791,0.952985701
Dapma7bEVm000255,0.056916104,0.643210359,0.984108345
Dapma7bEVm000256,-0.592422073,0.19063939,0.877495148
Dapma7bEVm000257,0.165484442,0.802095859,0.995280907
Dapma7bEVm000258,-0.545077956,0.005969638,0.268052128
Dapma7bEVm000259,-0.030769248,0.878589447,0.996018607
Dapma7bEVm000260,0.212803891,0.391201595,0.952985701
Dapma7bEVm000261,0.135938708,0.571893101,0.971159653
Dapma7bEVm000262,-0.058148416,0.760766559,0.995280907
Dapma7bEVm000263,-0.044677621,0.88645086,0.996018607
Dapma7bEVm000264,0.297049306,0.476110094,0.959980398
Dapma7bEVm000265,-0.049819676,0.820097945,0.995280907
Dapma7bEVm000266,-0.105553019,0.59066087,0.975603595
Dapma7bEVm000267,0.5509803,0.09068359,0.786032462
Dapma7bEVm000268,-0.070520984,0.717986239,0.994207572
Dapma7bEVm000269,-0.473151614,0.032009494,0.574972789
Dapma7bEVm000270,-0.088936572,0.75298182,0.995280907
Dapma7bEVm000271,0.251464718,0.372397476,0.947850483
Dapma7bEVm000272,0.269211299,0.463186763,0.959980398
Dapma7bEVm000273,0.400155557,0.010111456,0.339219236
Dapma7bEVm000274,0.054364743,0.793144875,0.995280907
Dapma7bEVm000275,-0.023206253,0.898388299,0.996018607
Dapma7bEVm000276,0.247864825,0.066352978,0.730596784
Dapma7bEVm000277,0.579554305,0.004060725,0.220882037
Dapma7bEVm000278,-0.113603652,0.508408626,0.966551632
Dapma7bEVm000279,0.139494728,0.378320805,0.951280591
Dapma7bEVm000280,0.296322335,0.181491801,0.872958719
Dapma7bEVm000281,0.246481877,0.345804526,0.943571883
Dapma7bEVm000282,-0.048795221,0.720507078,0.994207572
Dapma7bEVm000283,-0.104259592,0.525527966,0.969243458
Dapma7bEVm000284,0.609066823,0.003538286,0.205649219
Dapma7bEVm000285,0.061608031,0.655836767,0.984108345
Dapma7bEVm000286,0.556290888,0.193109469,0.877495148
Dapma7bEVm000287,0.439375241,0.18081837,0.872716694
Dapma7bEVm000288,0.397181992,0.284175374,0.927061329
Dapma7bEVm000289,0.320667391,0.376148969,0.949982894
Dapma7bEVm000290,-0.169926391,0.630433502,0.98356192
Dapma7bEVm000291,0.542944116,0.7087422,0.992113972
Dapma7bEVm000292,0.807031291,0.244826501,0.908193465
Dapma7bEVm000293,0.660081695,2.96E-05,0.008649077
Dapma7bEVm000294,-0.132327104,0.572133176,0.971159653
Dapma7bEVm000295,-0.576662436,0.291144097,0.928872871
Dapma7bEVm000296,0.059076162,0.840349171,0.995987636
Dapma7bEVm000297,-0.187159974,0.40840986,0.952985701
Dapma7bEVm000298,-0.127555625,0.616322613,0.980781759
Dapma7bEVm000299,0.202591683,0.317180444,0.941696037
Dapma7bEVm000300,0.085978205,0.75315358,0.995280907
Dapma7bEVm000301,0.033459817,0.882378344,0.996018607
Dapma7bEVm000302,-0.42450877,0.479450768,0.959980398
Dapma7bEVm000303,-0.172126463,0.722821244,0.994207572
Dapma7bEVm000304,0.021927963,0.902211469,0.996018607
Dapma7bEVm000305,-0.620443573,0.008898441,0.321083544
Dapma7bEVm000306,0.105928574,0.71663276,0.994207572
Dapma7bEVm000307,0.446729689,0.346436116,0.943969541
Dapma7bEVm000308,0.005192314,0.987674533,0.999771496
Dapma7bEVm000309,-0.74375437,0.092741468,0.787774132
Dapma7bEVm000310,0.427361896,0.004952347,0.238863218
Dapma7bEVm000311,-0.140820338,0.664987566,0.984108345
Dapma7bEVm000312,0.064731595,0.75089803,0.995280907
Dapma7bEVm000313,-0.459467,0.105662198,0.800388183
Dapma7bEVm000314,0.021949075,0.923191044,0.996061739
Dapma7bEVm000315,0.188534001,0.217565478,0.89591655
Dapma7bEVm000316,-0.045855169,0.820003833,0.995280907
Dapma7bEVm000318,0.149456543,0.495616641,0.964158903
Dapma7bEVm000319,0.152950991,0.662594582,0.984108345
Dapma7bEVm000320,0.984119139,0.262746274,0.920029426
Dapma7bEVm000321,-0.009838807,0.983407159,0.999771496
Dapma7bEVm000322,-0.133619963,0.705190673,0.992113972
Dapma7bEVm000323,0.220672702,0.500176911,0.964158903
Dapma7bEVm000324,1.328071318,0.074076426,0.754213627
Dapma7bEVm000325,0.63941623,0.193778808,0.877610316
Dapma7bEVm000326,-0.712525003,0.000441904,0.059366813
Dapma7bEVm000327,-0.532197404,0.132166827,0.831363546
Dapma7bEVm000328,-0.279992551,0.902462981,0.996018607
Dapma7bEVm000329,0.137215898,0.571609894,0.971159653
Dapma7bEVm000330,0.447340174,0.523305711,0.969243458
Dapma7bEVm000331,0.215548369,0.641479519,0.984108345
Dapma7bEVm000332,0.327352389,0.181405209,0.872958719
Dapma7bEVm000333,0.260401265,0.379259143,0.951635526
Dapma7bEVm000334,-0.361010872,0.783707349,0.995280907
Dapma7bEVm000335,-0.116323198,0.662748422,0.984108345
Dapma7bEVm000336,-0.991098587,0.308703198,0.93895248
Dapma7bEVm000337,0.024372599,0.946159305,0.997211633
Dapma7bEVm000338,-0.017610253,0.946281691,0.997211633
Dapma7bEVm000339,-0.007625051,0.966873701,0.999117826
Dapma7bEVm000340,0.202407978,0.362880551,0.947850483
Dapma7bEVm000341,0.007613161,0.967047423,0.999117826
Dapma7bEVm000342,0.328192562,0.159881842,0.855154035
Dapma7bEVm000343,-0.47488893,0.268625331,0.921222436
Dapma7bEVm000344,0.14046612,0.37707104,0.950641085
Dapma7bEVm000345,0.22973403,0.324888348,0.941696037
Dapma7bEVm000346,-0.075416626,0.707337434,0.992113972
Dapma7bEVm000347,-0.253558096,0.36351253,0.947850483
Dapma7bEVm000348,-0.019913153,0.91769785,0.996018607
Dapma7bEVm000349,0.034470343,0.790505452,0.995280907
Dapma7bEVm000350,-0.08315037,0.737330826,0.995280907
Dapma7bEVm000351,0.400535053,0.339230513,0.943571883
Dapma7bEVm000352,0.197251107,0.53154513,0.969618438
Dapma7bEVm000353,0.021855181,0.906753244,0.996018607
Dapma7bEVm000354,0.447878522,0.301051384,0.933826739
Dapma7bEVm000355,-0.04597597,0.921042082,0.996018607
Dapma7bEVm000356,0.415257723,0.02244685,0.491655555
Dapma7bEVm000357,0.030877068,0.856308035,0.996018607
Dapma7bEVm000358,0.200124779,0.402193395,0.952985701
Dapma7bEVm000359,0.020377555,0.888022473,0.996018607
Dapma7bEVm000360,0.279426483,0.426449686,0.953108977
Dapma7bEVm000361,-0.264497761,0.460098885,0.959980398
Dapma7bEVm000362,-0.696740528,0.702253552,0.992113972
Dapma7bEVm000363,-0.250691168,0.392389765,0.952985701
Dapma7bEVm000364,0.139827407,0.539155723,0.971159653
Dapma7bEVm000365,0.191986925,0.194518979,0.879168473
Dapma7bEVm000366,-0.038589234,0.956643147,0.998192837
Dapma7bEVm000367,0.019947417,0.963040975,0.999117826
Dapma7bEVm000368,0.467376953,0.018199061,0.446406768
Dapma7bEVm000369,0.659639504,0.651332529,0.984108345
Dapma7bEVm000370,0.440089797,0.047519405,0.665828219
Dapma7bEVm000371,0.115498885,0.285778598,0.927663361
Dapma7bEVm000372,0.20128049,0.405623476,0.952985701
Dapma7bEVm000373,-0.094816048,0.640146828,0.984108345
Dapma7bEVm000374,0.111058963,0.665712673,0.984300759
Dapma7bEVm000375,-0.130887542,0.599822348,0.978145926
Dapma7bEVm000376,-0.071732187,0.867290779,0.996018607
Dapma7bEVm000377,0.180992284,0.330916952,0.941696037
Dapma7bEVm000378,0.293006188,0.049988013,0.676931683
Dapma7bEVm000379,0.255829203,0.225664193,0.903927488
Dapma7bEVm000380,-0.223303066,0.232634006,0.905742674
Dapma7bEVm000381,0.744798592,0.048145409,0.667296119
Dapma7bEVm000382,-0.017143234,0.93385151,0.997211633
Dapma7bEVm000383,0.126468714,0.513828129,0.96749809
Dapma7bEVm000384,0.21024229,0.326506465,0.941696037
Dapma7bEVm000385,0.410421716,0.326982172,0.941696037
Dapma7bEVm000386,0.188628919,0.356971151,0.947009914
Dapma7bEVm000387,0.35213044,0.410038162,0.952985701
Dapma7bEVm000388,0.635258129,0.285695152,0.927602686
Dapma7bEVm000389,0.017463128,0.871956398,0.996018607
Dapma7bEVm000390,0.146843524,0.841476605,0.995987636
Dapma7bEVm000391,0.209594543,0.236883176,0.907861485
Dapma7bEVm000392,-0.24895296,0.42845703,0.953108977
Dapma7bEVm000393,1.125524327,0.258870427,0.917900709
Dapma7bEVm000394,-0.391501242,0.231413287,0.905150615
Dapma7bEVm000395,-0.578604871,0.514476411,0.96749809
Dapma7bEVm000396,0.008945694,0.971805435,0.999117826
Dapma7bEVm000397,0.200199417,0.668478831,0.984883206
Dapma7bEVm000398,-0.119382693,0.594436269,0.977374888
Dapma7bEVm000399,0.236456583,0.177642443,0.868251424
Dapma7bEVm000400,-0.171348235,0.513164984,0.96749809
Dapma7bEVm000401,0.37097533,0.761442007,0.995280907
Dapma7bEVm000402,0.376379557,0.046076198,0.65940677
Dapma7bEVm000403,0.333124883,0.27566456,0.921222436
Dapma7bEVm000404,-0.025029024,0.924620962,0.996523043
Dapma7bEVm000405,-0.612993425,0.633004251,0.983997403
Dapma7bEVm000406,-0.385868166,0.192679959,0.877495148
Dapma7bEVm000407,-0.679840813,0.163138333,0.856425598
Dapma7bEVm000408,-0.009835701,0.935696338,0.997211633
Dapma7bEVm000409,0.461418253,0.453205618,0.95782018
Dapma7bEVm000410,-0.047313243,0.75760361,0.995280907
Dapma7bEVm000411,0.006367096,0.963270236,0.999117826
Dapma7bEVm000412,-0.040272557,0.960201297,0.998801612
Dapma7bEVm000413,-0.180703187,0.466041373,0.959980398
Dapma7bEVm000414,0.350200789,0.311830155,0.940018302
Dapma7bEVm000415,-0.3980971,0.01750518,0.438097548
Dapma7bEVm000416,-0.106777008,0.869632016,0.996018607
Dapma7bEVm000417,0.067821139,0.95396578,0.997777439
Dapma7bEVm000418,0.215325187,0.103977488,0.798850238
Dapma7bEVm000419,-0.158045133,0.80577875,0.995280907
Dapma7bEVm000420,-0.668213187,0.008608611,0.32067226
Dapma7bEVm000421,0.381207327,0.002906393,0.187170055
Dapma7bEVm000422,-0.248825293,0.31504719,0.941696037
Dapma7bEVm000423,-1.311707141,0.096687317,0.793921054
Dapma7bEVm000424,-0.056280562,0.907931483,0.996018607
Dapma7bEVm000425,-0.243219505,0.360123937,0.947618225
Dapma7bEVm000426,-1.085658286,0.004646433,0.230311954
Dapma7bEVm000427,-0.193071103,0.35734133,0.947009914
Dapma7bEVm000428,0.143200149,0.514640522,0.96749809
Dapma7bEVm000429,0.037554882,0.861942857,0.996018607
Dapma7bEVm000430,-0.579689707,0.114734792,0.807890346
Dapma7bEVm000431,-1.990172718,9.28E-05,0.017511089
Dapma7bEVm000432,0.702408275,0.430491169,0.953108977
Dapma7bEVm000433,0.046166938,0.804768142,0.995280907
Dapma7bEVm000434,0.244469118,0.431011515,0.953108977
Dapma7bEVm000436,0.135538835,0.637201237,0.984108345
Dapma7bEVm000437,-0.020762866,0.940966321,0.997211633
Dapma7bEVm000438,0.58926739,0.015431442,0.418665554
Dapma7bEVm000439,0.113160911,0.584993901,0.973178218
Dapma7bEVm000440,0.29935548,0.422906534,0.952985701
Dapma7bEVm000441,0.3433174,0.166111873,0.859044255
Dapma7bEVm000442,0.264859241,0.235058196,0.907034807
Dapma7bEVm000443,0.393711436,0.036680711,0.610252554
Dapma7bEVm000444,0.109560944,0.688818276,0.990313418
Dapma7bEVm000445,0.248454705,0.530988701,0.969618438
Dapma7bEVm000446,0.166015727,0.424770985,0.952985701
Dapma7bEVm000447,0.248060772,0.289635861,0.928872871
Dapma7bEVm000448,0.275575904,0.274580994,0.921222436
Dapma7bEVm000449,0.030472892,0.850790174,0.995987636
Dapma7bEVm000450,0.352431462,0.054330963,0.697461093
Dapma7bEVm000451,0.195195816,0.217997873,0.896331668
Dapma7bEVm000452,-0.136788232,0.430210511,0.953108977
Dapma7bEVm000453,0.106985451,0.513167779,0.96749809
Dapma7bEVm000454,0.392947212,0.049272807,0.673233514
